link,title,text
https://tproger.ru/translations/parking-searching/,Ищем свободное парковочное место с Python и глубоким обучением,"В городах остро встаёт проблема нехватки парковочных мест. В этой статье мы напишем на Python программу, которая будет сообщать о наличии свободных мест."
https://tproger.ru/translations/python-data-vizualization/,Качественно новый уровень визуализации данных в Python,"Когда-то для визуализации данных в Python использовали matplotlib. Однако позже появилась более удобная библиотека — plotly. Рассказываем, что она может."
https://tproger.ru/translations/asterisks-in-python-what-they-are-and-how-to-use-them/,Звёздный Python: где и как используются * и **,"В Python много где можно встретить операторы * и **, которые в зависимости от контекста дают разный эффект. Разбираемся, как и где использовать «звёздочки»."
https://tproger.ru/translations/python-refactoring-with-tests/,Рефакторим код на Python с помощью тестов,"Рефакторинг — не для слабаков, и всегда есть возможность накосячить. Чтобы вы могли избежать этого, мы рассматриваем пошаговый пример рефакторинга в Python."
https://tproger.ru/translations/an-a-z-of-python-tricks/,26 полезных приёмов и хитростей Python,"В процессе работы с языком каждый находит для себя какие-то приёмы или библиотеки, облегчающие жизнь. Мы собрали подборку разных хитростей для Python."
https://tproger.ru/translations/making-a-low-level-linux-debugger/,Пишем низкоуровневый отладчик под Linux на Python,"Есть отличные отладчики вроде GDB, но иногда контроля над ними недостаточно. В этой серии статей мы напишем свой низкоуровневый отладчик под Linux на Python."
https://tproger.ru/curriculum/python-how-to-learn-2/,Хочу научиться программировать на Python: инструкция для продолжающих,"Рассказываем, что учить, как получать практику и где брать идеи для своего проекта."
https://tproger.ru/translations/debugging-python-with-pdb/,Как использовать отладчик pdb для Python приложений,"Разбираемся с утилитой для отладки кода на Python — pdb. В материале рассмотрены приёмы работы с отладчиком pdb, а также его основные возможности."
https://tproger.ru/translations/basic-statistics-in-python-descriptive-statistics/,Основы статистики с Python: описательная статистика,"Изучаем основы описательной статистики с Python, на примере датасета от Kaggle с описаниями 130 тысяч марок вина."
https://tproger.ru/curriculum/python-how-to-learn/,Хочу научиться программировать на Python. С чего начать?,"Рассказываем, что нужно выучить в первую очередь, где брать знания и интересные задачи для тренировок."
https://tproger.ru/translations/extracting-super-mario-bros-levels-with-python/,Используем Python для извлечения фона из Super Mario Bros,"В этой статье мы собираемся зареверсить Super Mario Bros 1985 года, чтобы извлечь изображение фона. Всё будет сделано с помощью одного лишь Python!"
https://tproger.ru/translations/python-security-troubles/,Каких дыр в безопасности надо бояться Python-разработчику,"Иногда даже самые, казалось бы, безопасные вещи, могут таить в себе опасность. Python — не исключение. Рассказываем, как работать с ним правильно"
https://tproger.ru/translations/bittorent-client-with-python/,Пишем свой BitTorrent-клиент на Python,Автор BitTorrent-клиента Pieces рассказывает об устройстве протокола и делится своими опытом написания приложения под этот протокол на Python:
https://tproger.ru/translations/python-ide/,Лучшие IDE и редакторы кода для Python,"Учитывая всё многообразие IDE и редакторов кода, в них легко запутаться. Собрали для вас самые популярные инструменты для разработки на Python и выяснили, в чём их преимущества и недостатки."
https://tproger.ru/quiz/python-style-quiz/,Тест: а у вас стильный Python?,"Python любят за многое, в том числе за удобочитаемость кода. Чтобы её сохранить, существует ряд руководств по кодстайлу. Самое известное из них — PEP8. Подготовили для вас тест, который покажет ваш уровень знаний PEP8."
https://tproger.ru/translations/django-orm-tips/,"Фичи Django ORM, о которых вы не знали","Разработчики, решившие более детально разобраться в работе СУБД, часто обнаруживают, что делает некоторые вещи не оптимально. Представляем вашему вниманию советы по работе с базами данных в Django ORM."
https://tproger.ru/articles/teletun-ip-over-telegram/,Интересные проекты: пробрасываем трафик через Telegram,"Думали когда-нибудь о передаче трафика через Telegram? Конечно думали! Поэтому встречайте Teletun — GitHub-проект, предназначенный как раз для этой цели."
https://tproger.ru/translations/pyqt-apps/,Реальные примеры приложений на Python и PyQT: от косынки до веб-браузера,"Нашли для вас подборку из 15 простых приложений на Python, написанных с помощью PyQt. Все приложения с открытым исходным кодом, поэтому их можно спокойно изменять, использовать в своих проектах и экспериментировать, как вам захочется."
https://tproger.ru/problems/sum-of-list-elements/,Задача на поиск списка с максимальной суммой элементов,"Представим, что у нас есть список со списками и нам нужно найти вложенный список с максимальной суммой элементов. Как бы вы решили эту задачу? Пока вы думаете, давайте рассмотрим несколько возможных вариантов решения на Python от самого громоздкого до «однострочника»."
https://tproger.ru/explain/python-dictionaries/,Словари и их методы в Python,"В краткой форме рассмотрим то, как устроены словари в языке Python, а также изучим некоторые методы для работы с ними. Чтение не займет больше 5 минут."
https://tproger.ru/translations/python-data-types/,Основные типы данных в Python для начинающих,"При изучении языка программирования одна из первых вещей, с которой вы столкнётесь, — типы данных. Сегодня мы расскажем об одних из наиболее важных типов данных в Python."
https://tproger.ru/translations/python-gui-pyqt/,Python GUI: создаём простое приложение с PyQt и Qt Designer,"Помимо всего прочего, на Python можно создавать десктопные приложения с графическим интерфейсом (Python GUI). Это можно сделать с помощью PyQt и Qt Designer, с которыми мы сегодня познакомимся."
https://tproger.ru/translations/python-args-and-kwargs/,Функция с переменным количеством аргументов в Python: *args и **kwargs,"Не всегда заранее известно, сколько аргументов будет передано функции. В таких случаях в Python на помощь приходят *args и **kwargs, позволяющие передавать переменное количество аргументов. Сегодня мы расскажем, как именно они работают."
https://tproger.ru/problems/python-challenge-level-one/,Задачка на Python: расшифруйте строку,Для разминки мозга и улучшения знания языка полезно порешать какие-нибудь задачки. В этой задаче будем разгадывать шифр на Python несколькими способами.
https://tproger.ru/translations/python-command-line-tools-with-click/,Пишем инструменты командной строки на Python с помощью Click,"Интерфейсы командной строки — эффективная вещь, так как они позволяют автоматизировать практически всё что угодно. Сегодня мы расскажем, как написать такой интерфейс на Python с помощью Click."
https://tproger.ru/translations/python-command-line-tools-with-google-fire/,Автоматизируем аргументы командной строки на Python с Google Fire,"Для написания интерфейсов командой строки лучше использовать библиотеки, которые упростят вам жизнь и значительно ускорят разработку. Сегодня мы рассмотрим Google Fire — одну из таких библиотек."
https://tproger.ru/articles/reducepy-by-abdullahselek/,Интересные проекты: сокращатель ссылок для запуска на Docker,"Проект ReducePy – это сервис для сокращения url-адреса, разработанный с использованием Tornado и Redis, для запуска на Docker."
https://tproger.ru/translations/python-variable-annotations/,Аннотации переменных в Python,"Аннотации переменных — следующий шаг развития аннотаций типов. Сегодня мы подробно расскажем, что они из себя представляют и как их использовать."
https://tproger.ru/translations/how-grouper-works/,Разбираемся в работе функции grouper в Python,Часто на StackOverflow задают вопрос «Как разбить последовательность на части равного размера?». Давайте попробуем в нём разобраться.
https://tproger.ru/translations/python-desktop-notifications/,Отправляем push-уведомления на рабочий стол в Linux с помощью Python,"Создадим программу, которая будет присылать не интерактивное всплывающее уведомление, показывающее актуальный курс биткоина к доллару."
https://tproger.ru/video/python-jedi/?autoload=1,Курс «Python-джедай»,"Серия русскоязычных видеоуроков, в которых рассматриваются основные аспекты использования языка Python под многообещающим девизом «По стандартам США»."
